iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
190093,Fis-25410,Malacocephalus laevis,LC,unknown,am,39,Maldives,45,NA,5476
190099,Fis-33799,Lestidium atlanticum,LC,unknown,am,39,Maldives,337,NA,5476
190107,Fis-24609,Eumecichthys fiski,LC,unknown,am,39,Maldives,337,NA,5476
190117,Fis-23106,Decapterus macarellus,LC,unknown,am,39,Maldives,40,NA,5476
190118,Fis-29291,Argyropelecus affinis,LC,unknown,am,39,Maldives,337,NA,5476
190123,Fis-26644,Cheilopogon cyanopterus,LC,unknown,am,39,Maldives,337,NA,5476
190133,Fis-23454,Cyclothone microdon,LC,stable,am,39,Maldives,337,NA,5476
190137,Fis-27276,Diretmichthys parini,LC,unknown,am,39,Maldives,337,NA,5476
190145,Fis-33796,Sternoptyx pseudobscura,LC,unknown,am,39,Maldives,331,NA,5476
190147,Fis-31235,Searsia koefoedi,LC,unknown,am,39,Maldives,185,NA,5476
190149,Fis-33790,Malacosteus niger,LC,unknown,am,39,Maldives,336,NA,5476
190157,Fis-49079,Lophodolos acanthognathus,LC,unknown,am,39,Maldives,333,NA,5476
190169,Fis-33234,Asquamiceps caeruleus,LC,unknown,am,39,Maldives,332,NA,5476
190176,Fis-33734,Bonapartia pedaliota,LC,unknown,am,39,Maldives,5,NA,5476
190180,Fis-32361,Gigantura indica,LC,unknown,am,39,Maldives,337,NA,5476
190183,Fis-24676,Histrio histrio,LC,stable,am,39,Maldives,38,NA,5476
190190,Fis-24927,Rachycentron canadum,LC,unknown,am,39,Maldives,49,NA,5476
190197,Fis-35155,Diaphus mollis,LC,stable,am,39,Maldives,337,NA,5476
190198,Fis-28101,Talismania antillarum,LC,unknown,am,39,Maldives,336,NA,5476
190201,Fis-33095,Acanthonus armatus,LC,unknown,am,39,Maldives,326,NA,5476
190207,Fis-30248,Lophotus lacepede,LC,unknown,am,39,Maldives,337,NA,5476
190214,Fis-30349,Nemichthys scolopaceus,LC,unknown,am,39,Maldives,337,NA,5476
190217,Fis-34615,Platytroctes apus,LC,unknown,am,39,Maldives,336,NA,5476
190231,Fis-145097,Robinsia catherinae,LC,unknown,am,39,Maldives,38,NA,5476
190232,Fis-26373,Taaningichthys bathyphilus,LC,unknown,am,39,Maldives,336,NA,5476
190255,Fis-24518,Cookeolus japonicus,LC,unknown,am,39,Maldives,40,NA,5476
190260,Fis-33148,Cetostoma regani,DD,NA,am,39,Maldives,337,NA,5476
190261,Fis-25178,Notolychnus valdiviae,LC,stable,am,39,Maldives,337,NA,5476
190265,Fis-34147,Bathytroctes microlepis,LC,unknown,am,39,Maldives,5,NA,5476
190278,Fis-50449,Dolopichthys longicornis,LC,unknown,am,39,Maldives,320,NA,5476
190279,Fis-22935,Pomatomus saltatrix,VU,decreasing,am,39,Maldives,337,NA,5476
190285,Fis-23562,Ichthyococcus ovatus,LC,unknown,am,39,Maldives,5,NA,5476
190286,Fis-148361,Bathylagoides argyrogaster,LC,unknown,am,39,Maldives,5,NA,5476
190287,Fis-23582,Lepidocybium flavobrunneum,LC,unknown,am,39,Maldives,46,NA,5476
190292,Fis-23551,Hirundichthys speculiger,LC,unknown,am,39,Maldives,337,NA,5476
190296,Fis-30710,Tetragonurus atlanticus,LC,unknown,am,39,Maldives,3,NA,5476
190298,Fis-34206,Photostylus pycnopterus,LC,unknown,am,39,Maldives,333,NA,5476
190300,Fis-52356,Cyclothone alba,LC,stable,am,39,Maldives,337,NA,5476
190311,Fis-139575,Nannobrachium lineatum,LC,unknown,am,39,Maldives,337,NA,5476
190315,Fis-64212,Serrivomer beanii,LC,unknown,am,39,Maldives,337,NA,5476
190316,Fis-49922,Scopelarchus analis,LC,unknown,am,39,Maldives,337,NA,5476
190317,Fis-28239,Bolinichthys photothorax,LC,stable,am,39,Maldives,337,NA,5476
190321,Fis-33845,Diaphus garmani,LC,unknown,am,39,Maldives,337,NA,5476
190324,Fis-29801,Chauliodus sloani,LC,unknown,am,39,Maldives,337,NA,5476
190332,Fis-24479,Canthidermis sufflamen,LC,stable,am,39,Maldives,38,NA,5476
