year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1952,39,51,Carangoides talamparoides,Imposter trevally,601912,98.6303664713795,Carangoides_talamparoides-51
1952,39,51,Caranx ignobilis,Giant trevally,601895,103.13036647138,Caranx_ignobilis-51
1952,39,51,Caranx lugubris,Black jack,601936,103.13036647138,Caranx_lugubris-51
1952,39,51,Caranx melampygus,Bluefin trevally,601906,107.630366471379,Caranx_melampygus-51
1952,39,51,Caranx sexfasciatus,Bigeye trevally,601917,103.13036647138,Caranx_sexfasciatus-51
1952,39,51,Carcharhinidae,Requiem sharks,400011,159.232637777778,Carcharhinidae-51
1952,39,51,Carcharhinus,Sharp-nosed sharks,500816,0.652592777777778,Carcharhinus-51
1952,39,51,Carcharhinus falciformis,Silky shark,600868,17.620005,Carcharhinus_falciformis-51
1952,39,51,Carcharhinus longimanus,Oceanic whitetip shark,600875,0.652592777777778,Carcharhinus_longimanus-51
1952,39,51,Carcharhinus melanopterus,Blacktip reef shark,600877,52.8600150000001,Carcharhinus_melanopterus-51
1952,39,51,Clupeidae,"Herrings, sardines, menhadens",400043,46.6472366305446,Clupeidae-51
1952,39,51,Elasmobranchii,"Sharks, rays, skates",200004,75.6747927777778,Elasmobranchii-51
1952,39,51,Encrasicholina heteroloba,Shorthead anchovy,600556,72.6165,Encrasicholina_heteroloba-51
1952,39,51,Euthynnus affinis,Kawakawa,600096,1.47729378211178,Euthynnus_affinis-51
1952,39,51,Galeocerdo cuvier,Tiger shark,600886,75.6747927777779,Galeocerdo_cuvier-51
1952,39,51,Hexanchus griseus,Bluntnose sixgill shark,600637,75.0222,Hexanchus_griseus-51
1952,39,51,Istiompax indica,Black marlin,600217,4.76502407527466,Istiompax_indica-51
1952,39,51,Istiophorus platypterus,Indo-Pacific sailfish,600077,1.02987457836522,Istiophorus_platypterus-51
1952,39,51,Isurus oxyrinchus,Shortfin mako,600752,0.652592777777778,Isurus_oxyrinchus-51
1952,39,51,Kajikia audax,Striped marlin,600223,1.86406710625176,Kajikia_audax-51
1952,39,51,Katsuwonus pelamis,Skipjack tuna,600107,4727.34922051857,Katsuwonus_pelamis-51
1952,39,51,Lactarius lactarius,False trevally,600363,0.894991178937907,Lactarius_lactarius-51
1952,39,51,Lethrinidae,"Emperors, scavengers",400328,68.7535776475864,Lethrinidae-51
1952,39,51,Lethrinus harak,Thumbprint emperor,601851,22.9178592158621,Lethrinus_harak-51
1952,39,51,Lethrinus microdon,Smalltooth emperor,601845,22.9178592158621,Lethrinus_microdon-51
1952,39,51,Lethrinus olivaceus,Longface emperor,601864,22.9178592158621,Lethrinus_olivaceus-51
1952,39,51,Lethrinus rubrioperculatus,Spotcheek emperor,601848,22.9178592158621,Lethrinus_rubrioperculatus-51
1952,39,51,Lethrinus xanthochilus,Yellowlip emperor,601852,22.9178592158621,Lethrinus_xanthochilus-51
1952,39,51,Lutjanidae,Snappers,400323,206.260732942759,Lutjanidae-51
1952,39,51,Lutjanus bohar,Two-spot red snapper,601417,68.7535776475864,Lutjanus_bohar-51
